rtype,C4,A0,A3,E4,D7,E7,B0,D2,A2,C3,B6,D4,C6,B4,B3,B2,D3,D6,E6,C2,D5,C5,B5,E5,C1,B1,A1,A4,A5
R1,2.78551936,2.323403008,2.127361536,4.543808512,1.062105536,1.613509248,5.89369088,4.107932672,5.092673536,3.91060096,1.351984128,2.189445632,1.260775552,2.592317952,4.629305344,4.267147776,3.202903296,1.824350336,2.107752192,7.003923968,3.492924672,1.970255744,1.623718656,2.09073408,6.442824704,6.280229376,5.31045376,3.012936192,1.734687232
R2,5.17376512,6.086769664,6.46728704,5.495161856,2.096265728,2.612396032,2.521375744,5.406358016,7.702657024,6.315016704,2.802457344,4.91378688,2.159533056,4.937116672,6.692980224,7.33788928,6.48687104,3.3402112,3.968948736,7.199614464,4.570320896,3.58372096,2.903285248,3.522356992,5.290063872,5.005596672,5.827721216,4.38194176,3.059035648
R3,1.188808064,3.591944192,2.749296896,3.012467968,1.923535744,1.758165376,2.207250176,2.893963776,3.022037504,3.368155136,1.294824192,2.435690752,2.487611904,3.224196352,2.343083008,4.516063744,2.763665152,2.073812096,3.344048128,4.429092864,3.097078016,2.64253824,2.595439616,2.25293312,3.671507712,4.895803904,4.555230208,2.714276608,2.184216576
R7p,7.902017536,10.366334976,8.222410752,9.164296192,4.201112064,3.019712768,16.772215808,12.3490304,13.117198336,14.035052544,3.3776448,12.745985024,3.67985536,9.779426304,11.534464,16.287312896,14.157978624,3.161156096,4.115075072,18.062004224,7.5666304,4.69517056,3.757599488,7.911689728,15.09797888,21.674194944,15.234699264,5.709287424,3.471101696
R4,3.76278144,2.978513152,3.0414656,3.394804224,1.767644416,2.141492096,7.612607488,2.394816512,4.400591872,2.936470784,1.366464128,2.442859264,1.624836992,3.270064896,2.963926528,4.27989632,1.949105024,1.859353088,1.953706496,4.76201472,3.146209024,1.549566464,1.43963968,2.053357696,4.350377472,5.241742336,3.309931776,2.104243456,1.648558592
R5,5.436735488,5.694905344,5.522934784,5.01942784,2.81074816,3.078114304,6.507585024,7.336974848,5.649106944,6.523421184,2.338622976,4.793591296,2.505494528,5.389707776,5.834652672,6.312359424,6.083816448,2.836672,4.21039104,7.189222912,4.106728192,3.651393792,3.230966272,4.364169728,5.376118784,7.359405568,7.26985472,4.4221824,3.15874816
R6,2.69320704,3.416281344,3.13886464,2.668027136,0.877320896,1.027932352,4.038800384,2.828898048,4.121673728,2.840865792,0.697399296,2.36393344,2.115808384,3.196842752,2.773630464,4.489592832,2.926787072,1.299471616,1.730263552,3.649053952,2.460849664,2.48564608,1.986153344,1.713304832,3.57043712,4.114075904,4.197519104,3.443798784,1.947012992
R7,8.742905856,8.727351296,8.222687232,3.854184704,3.771100672,3.101124096,4.478996992,3.770036992,7.185001984,4.109618944,3.421843968,5.568187904,4.001146368,9.391489024,6.744872448,4.478565376,3.445251584,4.107839488,5.354945536,3.302063104,6.885523456,5.907419648,4.000935424,4.741772288,2.852086272,3.220619008,4.2261824,5.860794368,2.92745216
R8,5.716617728,6.358027264,5.430847488,5.20733696,0.7306672,0.718379264,8.82380288,6.793112064,5.454782464,7.067186688,0.6995312,4.728322048,0.769417472,5.243615744,7.138980864,8.157599232,7.001646592,0.813160768,0.924301696,9.605700608,5.05255168,1.476635392,0.76172448,4.6614912,7.133266432,10.05085184,7.634704896,1.063401856,0.650499712
